month,day,year,event
xx,xx,"-13,772,000,000","The Universe forms in a giant ""Big Bang""."
xx,xx,"-13,100,000,000",Formation of the first galaxies.
xx,xx,"-12,700,000,000",The Universe cools sufficiently to permit clouds of hydrogen to collapse due to gravity. The first stars ignite.
xx,xx,"-11,700,000,000","Elements heavier than hydrogen and helium are injected into the Universe as the first stars end their lives in Super Novas, Novas, and White Dwarves."
xx,xx,"-5,000,000,000","A nearby Super Nova disturbs a cloud of gas and dust, starting a process of gravitational collapse that results in our solar system's formation."
xx,xx,"-4,556,000,000",Particles begin to acrete into planetesimals around the dense cloud of hydrogen at the center of the newly formed solar system. The sun ignites in an explosive nuclear fusion explosion.
xx,xx,"-4,540,000,000",Formation of the earth.
xx,xx,"-4,530,000,000","Formation of the Moon. A mars-sized planetesimal collides with the earth in a cataclysmic explosion. The iron cores of the Earth and planetesimal merge while lighter material forms an incandescent ring around the earth which accretes into the Moon in a matter of decades. The Earth is fractured, tilted 23 degrees on its axis and its rotation greatly increases. A sea of molten magma 1000 feet thick covers the planet. Any geological features present before this event are obliterated."
xx,xx,"-4,300,000,000","Melting of the interior of the Earth due to radioactive and gravitational heating which leads to its differentiated interior structure as well as outgassing of molecules such as water, methane, ammonia, hydrogen, nitrogen, and carbon dioxide. Atmospheric water is photodissociated by ultraviolet light to give oxygen atoms which are incorporated into an ozone layer and hydrogen molecules which escape into space."
xx,xx,"-4,000,000,000",Bombardment of the Earth by planetesimals stops
xx,xx,"-3,800,000,000",The Earth's crust solidifies--formation of the oldest rocks found on Earth. Condensation of atmospheric water into oceans.
xx,xx,"-3,500,000,000",The oldest known fossils are calcareous structures called stromatolites that were produced by cyanobacteria. Beginning of photosynthesis by blue-green algae which releases oxygen molecules into the atmosphere and steadily works to strengthen the ozone layer and change the Earth's chemically reducing atmosphere into a chemically oxidizing one.
xx,xx,"-2,500,000,000",The Early Period within the Proterozoic Period within the Precambrian Era begins.
xx,xx,"-2,400,000,000",Rise in the concentration of oxygen molecules stops the deposition of uraninites (since they are soluble when combined with oxygen) and starts the deposition of banded iron formations.
xx,xx,"-2,300,000,000","It is postulated that the formation of oxygen by plants in the ocean reacted with and removed the free methane in the atmosphere. The loss of this greenhouse gas caused the earth to cool and completely freeze over - ""snowball earth"". This period may have lasted hundreds of millions of years until enough volcanic gas was released to trap atmospheric heat and melt the ice."
xx,xx,"-1,700,000,000",The Middle Period within the Proterozoic Period within the Precambrian Era begins.
xx,xx,"-1,600,000,000",The last reserves of reduced iron are used up by the increasing atmospheric oxygen--last banded iron formations.
xx,xx,"-1,500,000,000",Eukaryotic cell organisms develop. Rise of multicellular organisms.
xx,xx,"-900,000,000",The Late Period within the Proterozoic Period within the Precambrian Era begins.
xx,xx,"-750,000,000","The Varangian glaciation. It is believed that at this point that the earth's oceans again completely froze over and the entire planet was buried under miles of ice, with only the earth's core temperature to keep some water liquid under the ice. This ""snowball earth"" was caused by silicate rocks eroding and reacting with the carbon dioxide in the atmosphere, and may have lasted as long as 170,000,000 years, until just before the ""Cambrian Explosion""."
xx,xx,"-580,000,000",Fossils of Ediacaran organisms are made.
xx,xx,"-545,000,000",Cambrian explosion of hard-bodied organisms.
xx,xx,"-544,000,000",The Cambrian Period within the Paleozoic Era begins.
xx,xx,"-510,000,000",The land that became Ohio is located south of the equator.
xx,xx,"-505,000,000",The Ordovician Period within the Paleozoic Era begins.
xx,xx,"-500,000,000",Rise of the fish--first vertebrates.
xx,xx,"-466,000,000","The breakup of a 96 mile wide asteroid between Mars and Jupiter leads to a 2,000,000 year influx of dust that cools the earth and leads to an ice age."
xx,xx,"-440,000,000",The Silurian Period within the Paleozoic Era begins.
xx,xx,"-430,000,000",Waxy coated algae begin to live on land.
xx,xx,"-420,000,000",Millipedes have evolved--first land animals.
xx,xx,"-410,000,000",The Devonian Period within the Paleozoic Era begins.
xx,xx,"-408,000,000","The COLUMBUS LIMESTONE is formed when Ohio is covered by a warm, very clear shallow sea. "
xx,xx,"-387,000,000","The DELAWARE LIMESTONE is formed when Ohio is covered by a warm, very clear shallow sea."
xx,xx,"-380,000,000",The OLENTANGY SHALE is formed from thick deposits of mud.
xx,xx,"-375,000,000","The Appalachian mountains are formed via a plate tectonic collision between North America, Africa, and Europe. Appearance of primitive sharks. Outwash from their subsequent erosion will form large beds of sandstone across Ohio."
xx,xx,"-374,000,000",The OHIO SHALE is formed is formed from thick deposits of mud.
xx,xx,"-370,000,000","Trees first appear on land. Archaeopteris looks similar to a Christmas tree with buds, reinforced branch joints and wood similar to today's timber. Its branches and leaves resembled a fern."
xx,xx,"-360,000,000",The Mississippian Epoch within the Carboniferous Period within the Paleozoic Era begins.
xx,xx,"-350,000,000",Rise of the amphibians. Primitive insects have evolved. Primitive ferns evolve--first plants with roots.
xx,xx,"-325,000,000",The Pennsylvanian Epoch within the Carboniferous Period within the Paleozoic Era begins.
xx,xx,"-320,000,000",The land that became Ohio is located on the equator.
xx,xx,"-310,000,000","The BEDFORD SHALE,  BEREA GRIT, SUNBURY SHALE, CUYAHOGA SANDSTONE and BLACK HAND SANDSTONE are formed."
xx,xx,"-300,000,000",A period of massive glaciation.
xx,xx,"-300,000,000",Rise of the reptiles. Winged insects have evolved.
xx,xx,"-290,000,000","Meteor Impact: Clearwater Lakes, Quebec, Canada. Twin craters, 32km and 22km in diameter."
xx,xx,"-286,000,000",The Permian Period within the Paleozoic Era begins.
xx,xx,"-280,000,000",Beetles and weevils have evolved.
xx,xx,"-254,000,000",Most modern connifer trees now exist.
xx,xx,"-250,000,000",Permian period mass extinction. Possibly due to a supervolcano in the Siberian Traps?
xx,xx,"-248,000,000",Melanosaurus walked the earth.
xx,xx,"-248,000,000",The Triassic Period within the Mesozoic Era begins.
xx,xx,"-230,000,000",Roaches and termites have evolved.
xx,xx,"-225,000,000",Modern ferns have evolved. Bees have evolved.
xx,xx,"-220,000,000","Coelophysis, one of the oldest known dinosaurs, walked the earth."
xx,xx,"-220,000,000",The land that became Ohio is located where Florida is located today.
xx,xx,"-213,000,000",The Jurassic Period within the Mesozoic Era begins.
xx,xx,"-212,000,000","Meteor Impact: Manicouagan, Quebec, Canada. Crater diameter 100km. The largest still preserved impact crater on the planet."
xx,xx,"-211,000,000","Ingentia prima, which means ""first giant"" in Latin — weighed up to 11 tons (10 metric tons) and measured up to 32 feet (10 meters) long. Eqypt."
xx,xx,"-200,000,000","Meteor Impact: Aorounga, Chad, Africa. 17km crater."
xx,xx,"-200,000,000",Pangaea starts to break apart. Primitive crocodiles have evolved. Appearance of mammals.
xx,xx,"-150,000,000","Apatosaurus (formerly known as Brontosaurus), Brachiosaurus walk the earth. Ichthyosaurus and Plesiosaurus swim in the sea. Pterodactyl flies in the sky."
xx,xx,"-145,000,000","Archaeopteryx, Ankylosaurus, Gallimimus, Iguanodon, Protoceratops, Spinosaurus, Triceratops, Tyrannosaurus, and Velociraptor walk the Earth."
xx,xx,"-145,000,000",The Cretaceous Period within the Mesozoic Era begins.
xx,xx,"-142,000,000","Meteor Impact: Gosses Bluff, Northern Territory, Australia. 24km crater."
xx,xx,"-136,000,000",Primitive kangaroos have evolved.
xx,xx,"-132,000,000",Massive eruption at Guarapuava —Tamarana—Sarusas Brazil ejects 8000 km3 of material.
xx,xx,"-100,000,000","Meteor Impact: Deep Bay, Saskatchewan, Canada. 13km crater."
xx,xx,"-100,000,000",Primitive cranes have evolved.
xx,xx,"-100,000,000","The flowering plants, angiosperms, appear. They quickly radiate and today there are 200.000 species."
xx,xx,"-90,000,000",Modern sharks have evolved.
xx,xx,"-66,038,000","Meteor Impact: Chicxulub, Yucatan Peninsula, Mexico. An asteroid 10 to 20 kilometers (6 to 12 miles) in diameter hit a geologically unique, sulfur-rich region of the Yucatan Peninsula and kicked up billions of tons of sulfur and other materials into the atmosphere. Darkness prevailed for about half a year after the collision. This caused global temperatures to plunge near freezing. Half of the species on Earth became extinct including the dinosaurs. Energy was 250 teratons."
xx,xx,"-66,000,000","Gymnosperma trees have largely take over from the conifers. Amongst the genera that had evolved were platanus, the oak family, hollies (like American holly or hulst), the walnut family, palm trees and the family that now includes birches and alnus."
xx,xx,"-65,000,000",The Paleocene Epoch within the Tertiary Period within the Cenozoic Era begins.
xx,xx,"-60,000,000","Rats, mice, and squirrels have evolved. Herons and storks have evolved."
xx,xx,"-55,500,000",The Eocene Epoch within the Tertiary Period within the Cenozoic Era begins.
xx,xx,"-55,000,000",Rabbits and hares have evolved.
xx,xx,"-50,000,000",Primitive monkeys have evolved.
xx,xx,"-40,000,000","La Garita Caldera formed when 3000 cubic miles of lava are ejected, covering most of modern Colorado to a depth of 100 m. Energy is 25,000 megatons."
xx,xx,"-37,000,000",The first rose species appears.
xx,xx,"-33,700,000",The Oligocene Epoch within the Tertiary Period within the Cenozoic Era begins.
xx,xx,"-28,000,000",Koalas have evolved.
xx,xx,"-28,000,000","Meteor Impact: Mistastin Lake, Newfoundland and Labrador, Canada. 28km crater."
xx,xx,"-27,800,000","Volcano, Fish Canyon, San Juan Mtns, Colorado: ejects 3,000 km3 of material."
xx,xx,"-25,000,000","The number of ""herb"" species, or small non-woody plants, explodes due to a drier climate reducing forests."
xx,xx,"-23,800,000",The Miocene Epoch within the Tertiary Period within the Cenozoic Era begins.
xx,xx,"-23,000,000",Most major groups of oak trees have appeared.
xx,xx,"-20,000,000",Parrots and pigeons have evolved.
xx,xx,"-12,000,000",The chimpanzee and hominid lines evolve.
xx,xx,"-12,000,000","Volcano, Yellowstone: Massive eruption ejects 280 km3 of material."
xx,xx,"-10,000,000","Meteor Impact: Kara-Kul, Tajikistan. 45km crater."
xx,xx,"-10,000,000",Ramapithecus exist.
xx,xx,"-10,000,000",The star Betelgeuse forms.
xx,xx,"-5,300,000",The Pliocene Epoch within the Tertiary Period within the Cenozoic Era begins.
xx,xx,"-5,100,000",The Hawaii island of Kauaʻ forms.
xx,xx,"-5,000,000","Meteor Impact: Roter Kamm, South West Africa/Namibia. 2.5km crater."
xx,xx,"-4,900,000",The Hawaii island of Niʻihau forms.
xx,xx,"-4,000,000",Development of hominid bipedalism.
xx,xx,"-3,700,000",The Hawaii island of Oʻahu forms.
xx,xx,"-3,500,000",The Australopithecus Lucy walks the Earth.
xx,xx,"-3,300,000","Oldest stone tools found, used by an ancestor of Homo Erectus"
xx,xx,"-2,200,000","Volcano, Yellowstone: Massive eruption ejects 2,500 km3 of material."
xx,xx,"-2,000,000",Widespread use of stone tools.
xx,xx,"-1,900,000",The Hawaii island of Molokaʻi forms.
xx,xx,"-1,800,000",The Pleistocene Epoch within the Quaternary Period within the Cenozoic Era begins.
xx,xx,"-1,600,000",Homo Erectus exist.
xx,xx,"-1,300,000","Meteor Impact: Bosumtwi, Ghana. 10.5km crater."
xx,xx,"-1,300,000",The Hawaii island of Lānaʻi forms.
xx,xx,"-1,300,000",The Hawaii island of Maui forms.
xx,xx,"-1,200,000",The Kansan glaciation begins.
xx,xx,"-1,000,000",Homo erectus tames fire.
xx,xx,"-1,000,000",The Hawaii island of Kahoʻolawe forms.
xx,xx,"-600,000","Volcano, Yellowstone: Massive eruption ejects 1,000 km3 of material."
xx,xx,"-410,000","The northern hemisphere's average temperature peaks at +2 deg C above normal, signalling the beginning of an interglacial period."
xx,xx,"-400,000",The Hawaii island of Hawaii forms.
xx,xx,"-400,000",The Illinoian glaciation begins.
xx,xx,"-335,000","The northern hemisphere's average temperature reaches a minimum of -8 deg C below normal, signalling the peak of a glacial period."
xx,xx,"-322,500","The northern hemisphere's average temperature peaks at +3 deg C above normal, signalling the beginning of an interglacial period."
xx,xx,"-300,000","Archaic Homo Sapiens appear, possibly evolved from Homo Erectus."
xx,xx,"-300,000",Geminga supernova explosion at a distance of roughly 60 pc--roughly as bright as the Moon.
xx,xx,"-300,000","Meteor Impact: Wolfe Creek, Australia. 0.875km crater."
xx,xx,"-287,000",Evidence of early humans living in Denisovo Cave in Siberia.
xx,xx,"-265,000","The northern hemisphere's average temperature reaches a minimum of -8.5 deg C below normal, signalling the peak of a glacial period."
xx,xx,"-240,000","The northern hemisphere's average temperature peaks at +2 deg C above normal, signalling the beginning of an interglacial period."
xx,xx,"-200,000","Homo Sapiens Neanderthalensis exist. Dead end evolutionary branch for humans, Neanderthals go extinct around 33,000 BC."
xx,xx,"-193,000","Neanderthals lived along side Homo Sapiens in Denisovo Cave in Siberia, Russia."
xx,xx,"-140,000","The northern hemisphere's average temperature reaches a minimum of -9 deg C below normal, signalling the peak of a glacial period."
xx,xx,"-130,000","The northern hemisphere's average temperature peaks at +3 deg C above normal, signalling the beginning of an interglacial period."
xx,xx,"-100,000","Modern Homo Sapiens, evolved from Archaic Homo Sapiens, exists in Africa."
xx,xx,"-97,000","Neanderthals no longer present in Denisovo Cave in Siberia, Russia. They lived along side Homo Sapiens in that area for 190,000 years."
xx,xx,"-75,000","The eruption of 2,800 km3 of magma at Toba caldera is the largest eruption in the last 2 million years. The eruption may have release as much as 10E+12 kg of sulfuric acid, an order of magnitude more than Laki in 1783 and Tambora in 1815, two of the greatest Holocene eruptions. The Toba eruption may have caused about 3 to 4 degree C cooling at the surface but this impact is hard to detect because of concurrent glacial conditions. The world's population of homo sapiens decreased from over one hundred thousand to less than two thousand, basically because global temperatures dropped five degrees for many years. "
xx,xx,"-70,000",The Wisconsin glaciation began with the accumulation of ice in northeastern Canada.
xx,xx,"-60,000",The Wisconsin glaciations reaches Columbus.
xx,xx,"-55,000","A needle is used in Denisova Cave in the Bashelaksky Range of the Altai mountains, Siberia, Russia. It is the earliest known use of a needle found."
xx,xx,"-50,000",Modern Homo Sapiens migrate out of Africa and appear in Europe and Asia.
xx,xx,"-49,000","Meteor Crater, AZ created."
xx,xx,"-40,000",Homo Sapiens Sapiens enter Australia from southeastern Asia and North America from northeastern Asia.
xx,xx,"-40,000",The Wisconsin glaciation reaches Dayton.
xx,xx,"-33,000",Homo Sapiens Neanderthalensis goes extinct.
xx,xx,"-23,000","The northern hemisphere's average temperature reaches a minimum of -9 deg C below normal, signalling the peak of a glacial period."
xx,xx,"-20,000",Homo sapiens sapiens paint the Altamira Cave.
xx,xx,"-20,000",The Wisconsin glaciation reaches Cincinnati. Galciation peaks.
xx,xx,"-16,500",The Wisconsin glaciation retreats to Cleveland.
xx,xx,"-13,000",Evidence that Paleo-Indian people settled in Ohio.
xx,xx,"-12,900","The Younger Dryas begins, a return to glacial conditions which temporarily reversed the gradual climatic warming after the Last Glacial Maximum"
xx,xx,"-12,000","Homo sapiens sapiens have domesticated dogs in Kirkuk, Iraq."
xx,xx,"-11,700","The Younger Dryas ends, and glacial conditions resume abating."
xx,xx,"-11,050",Rye is cultivated in Mesopotamia. Pigs and sheep are domesticated.
xx,xx,"-10,502","Early inhabitants of North America at the site of what is now Monte Verde, Chile, leave spear tips behind. This is the oldest confirmed evidence of humans in North and South America."
xx,xx,"-10,000",First permanent Homo sapiens sapiens settlements. Homo sapiens sapiens learn to use fire to cast copper and harden pottery.
